snapshot,Dongola,Merowe,Atbara,PortSudan,Khartoum,WadMedani,Kosti,Sennar,Roseires,Gedaref,Kassala,ElObeid,ElFasher,Nyala,ElGeneina,Kadugli,EnNahud,EdDaein,Zalingei
2024-08-04 11:00:00,114.24005952015597,51.40802678407018,194.20810118426513,274.1761428483743,171.36008928023395,91.39204761612477,148.51207737620277,102.81605356814036,68.54403571209357,154.22408035221056,114.24005952015597,51.40802678407018,17.136008928023394,11.424005952015596,9.139204761612477,6.854403571209358,6.854403571209358,6.854403571209358,3.427201785604679
2024-08-04 12:00:00,119.0387454061062,53.56743543274779,202.36586719038056,285.6929889746549,178.5581181091593,95.23099632488497,154.75036902793806,107.13487086549559,71.42324724366372,160.70230629824337,119.0387454061062,53.56743543274779,17.85581181091593,11.903874540610621,9.523099632488496,7.142324724366373,7.142324724366373,7.142324724366373,3.5711623621831863
2024-08-04 13:00:00,124.03713727148454,55.81671177216804,210.86313336152372,297.6891294515629,186.0557059072268,99.22970981718763,161.2482784529299,111.63342354433608,74.42228236289073,167.45013531650412,124.03713727148454,55.81671177216804,18.60557059072268,12.403713727148453,9.922970981718763,7.442228236289072,7.442228236289072,7.442228236289072,3.721114118144536
2024-08-04 14:00:00,128.03475614181642,57.61564026381739,217.6590854410879,307.28341474035943,192.05213421272464,102.42780491345313,166.44518298436134,115.23128052763478,76.82085368508986,172.84692079145216,128.03475614181642,57.61564026381739,19.205213421272465,12.803475614181641,10.242780491345314,7.682085368508985,7.682085368508985,7.682085368508985,3.8410426842544925
2024-08-04 15:00:00,130.21132416188544,58.59509587284845,221.35925107520524,312.50717798852503,195.31698624282816,104.16905932950836,169.27472141045106,117.1901917456969,78.12679449713126,175.78528761854534,130.21132416188544,58.59509587284845,19.531698624282814,13.021132416188545,10.416905932950835,7.8126794497131264,7.8126794497131264,7.8126794497131264,3.9063397248565632
2024-08-04 16:00:00,131.08685503200394,58.98908476440177,222.8476535544067,314.60845207680944,196.63028254800588,104.86948402560314,170.4129115416051,117.97816952880353,78.65211301920236,176.96725429320531,131.08685503200394,58.98908476440177,19.66302825480059,13.108685503200393,10.486948402560314,7.865211301920236,7.865211301920236,7.865211301920236,3.932605650960118
2024-08-04 17:00:00,132.91006924114535,59.809531158515405,225.9471177099471,318.9841661787488,199.365103861718,106.32805539291627,172.78309001348896,119.61906231703081,79.7460415446872,179.42859347554622,132.91006924114535,59.809531158515405,19.9365103861718,13.291006924114534,10.632805539291628,7.974604154468721,7.974604154468721,7.974604154468721,3.9873020772343604
2024-08-04 18:00:00,138.43901944659407,62.297558750967326,235.3463330592099,332.2536466718258,207.6585291698911,110.75121555727524,179.97072528057228,124.59511750193465,83.06341166795644,186.892676252902,138.43901944659407,62.297558750967326,20.76585291698911,13.843901944659406,11.075121555727526,8.306341166795644,8.306341166795644,8.306341166795644,4.153170583397822
2024-08-04 19:00:00,148.06353008300667,66.628588537353,251.7080011411113,355.352472199216,222.09529512451,118.45082406640532,192.48258910790867,133.257177074706,88.838118049804,199.88576561205898,148.06353008300667,66.628588537353,22.209529512451,14.806353008300665,11.845082406640532,8.8838118049804,8.8838118049804,8.8838118049804,4.4419059024902
2024-08-04 20:00:00,157.68771783971644,70.95947302787239,268.06912032751796,378.45052281531946,236.53157675957465,126.15017427177315,204.99403319163136,141.91894605574478,94.61263070382986,212.8784190836172,157.68771783971644,70.95947302787239,23.653157675957466,15.768771783971644,12.615017427177316,9.461263070382987,9.461263070382987,9.461263070382987,4.730631535191494
2024-08-04 21:00:00,160.7613888199611,72.34262496898249,273.2943609939339,385.82733316790666,241.14208322994165,128.6091110559689,208.98980546594944,144.68524993796498,96.45683329197666,217.0278749069475,160.7613888199611,72.34262496898249,24.114208322994166,16.076138881996112,12.860911105596887,9.645683329197666,9.645683329197666,9.645683329197666,4.822841664598833
2024-08-04 22:00:00,153.8220573572369,69.2199258107566,261.49749750730274,369.17293765736855,230.73308603585534,123.05764588578951,199.96867456440796,138.4398516215132,92.29323441434214,207.6597774322698,153.8220573572369,69.2199258107566,23.073308603585534,15.382205735723689,12.30576458857895,9.229323441434213,9.229323441434213,9.229323441434213,4.614661720717106
2024-08-04 23:00:00,139.7652702552423,62.89437161485905,237.60095943391195,335.43664861258156,209.64790538286348,111.81221620419386,181.69485133181502,125.7887432297181,83.85916215314539,188.68311484457715,139.7652702552423,62.89437161485905,20.964790538286348,13.976527025524232,11.181221620419386,8.38591621531454,8.38591621531454,8.38591621531454,4.19295810765727
2024-08-05 00:00:00,108.76931620576585,48.94619229259463,184.90783754980194,261.04635889383803,163.15397430864877,87.01545296461268,141.4001110674956,97.89238458518926,65.26158972345951,146.8385768777839,108.76931620576585,48.94619229259463,16.315397430864877,10.876931620576585,8.70154529646127,6.526158972345951,6.526158972345951,6.526158972345951,3.2630794861729755
2024-08-05 01:00:00,108.76941419525352,48.94623638786408,184.90800413193097,261.04659406860844,163.15412129288026,87.01553135620281,141.40023845382956,97.89247277572817,65.26164851715211,146.83870916359226,108.76941419525352,48.94623638786408,16.315412129288028,10.876941419525352,8.701553135620282,6.526164851715211,6.526164851715211,6.526164851715211,3.2630824258576054
2024-08-05 02:00:00,108.7699301610287,48.94646857246291,184.90888127374876,261.0478323864689,163.15489524154304,87.01594412882295,141.4009092093373,97.89293714492582,65.26195809661722,146.83940571738873,108.7699301610287,48.94646857246291,16.315489524154305,10.876993016102869,8.701594412882296,6.526195809661721,6.526195809661721,6.526195809661721,3.2630979048308606
2024-08-05 03:00:00,108.7723173081061,48.94754278864774,184.91293942378036,261.0535615394546,163.15847596215914,87.01785384648487,141.4040125005379,97.89508557729548,65.26339038486365,146.84262836594323,108.7723173081061,48.94754278864774,16.315847596215914,10.877231730810609,8.701785384648486,6.526339038486365,6.526339038486365,6.526339038486365,3.2631695192431827
2024-08-05 04:00:00,108.7820126875534,48.95190570939903,184.92942156884078,261.07683045012817,163.1730190313301,87.02561015004272,141.41661649381942,97.90381141879806,65.26920761253204,146.85571712819709,108.7820126875534,48.95190570939903,16.31730190313301,10.87820126875534,8.702561015004273,6.526920761253204,6.526920761253204,6.526920761253204,3.263460380626602
2024-08-05 05:00:00,108.81654127003857,48.96744357151735,184.98812015906555,261.15969904809253,163.22481190505783,87.05323301603084,141.46150365105012,97.9348871430347,65.28992476202313,146.90233071455205,108.81654127003857,48.96744357151735,16.322481190505783,10.881654127003856,8.705323301603086,6.528992476202314,6.528992476202314,6.528992476202314,3.264496238101157
2024-08-05 06:00:00,108.9242047964006,49.01589215838027,185.171148153881,261.4180915113614,163.3863071946009,87.13936383712047,141.60146623532077,98.03178431676054,65.35452287784035,147.0476764751408,108.9242047964006,49.01589215838027,16.338630719460088,10.892420479640059,8.713936383712047,6.535452287784036,6.535452287784036,6.535452287784036,3.267726143892018
2024-08-05 07:00:00,109.21753742030447,49.14789183913701,185.66981361451758,262.1220898087307,163.8263061304567,87.37402993624357,141.9827986463958,98.29578367827402,65.53052245218268,147.443675517411,109.21753742030447,49.14789183913701,16.38263061304567,10.921753742030447,8.737402993624357,6.553052245218268,6.553052245218268,6.553052245218268,3.276526122609134
2024-08-05 08:00:00,109.91391920641576,49.46126364288709,186.85366265090678,263.7934060953978,164.87087880962363,87.9311353651326,142.88809496834048,98.92252728577418,65.94835152384945,148.38379092866128,109.91391920641576,49.46126364288709,16.487087880962363,10.991391920641576,8.79311353651326,6.594835152384945,6.594835152384945,6.594835152384945,3.2974175761924727
2024-08-05 09:00:00,111.34874811191031,50.10693665035964,189.29287179024752,267.2369954685847,167.02312216786547,89.07899848952825,144.75337254548342,100.21387330071929,66.80924886714618,150.32080995107893,111.34874811191031,50.10693665035964,16.702312216786545,11.13487481119103,8.907899848952825,6.680924886714619,6.680924886714619,6.680924886714619,3.3404624433573096
2024-08-05 10:00:00,113.89921463665375,51.25464658649419,193.6286648823114,273.35811512796903,170.84882195498062,91.119371709323,148.06897902764987,102.50929317298838,68.33952878199226,153.76393975948258,113.89921463665375,51.25464658649419,17.084882195498064,11.389921463665376,9.1119371709323,6.833952878199225,6.833952878199225,6.833952878199225,3.4169764390996127
2024-08-05 11:00:00,117.77325723727421,52.99796575677339,200.21453730336614,282.6558173694581,176.6598858559113,94.21860578981936,153.10523440845648,105.99593151354678,70.66395434236452,158.9938972703202,117.77325723727421,52.99796575677339,17.66598858559113,11.77732572372742,9.421860578981937,7.066395434236452,7.066395434236452,7.066395434236452,3.533197717118226
2024-08-05 12:00:00,122.7203560887693,55.22416023994618,208.62460535090779,294.5288546130463,184.08053413315392,98.17628487101543,159.53646291540008,110.44832047989236,73.63221365326157,165.67248071983855,122.7203560887693,55.22416023994618,18.408053413315393,12.272035608876928,9.817628487101542,7.363221365326157,7.363221365326157,7.363221365326157,3.6816106826630786
2024-08-05 13:00:00,127.87333739328305,57.543001826977374,217.38467356858118,306.8960097438793,191.81000608992457,102.29866991462644,166.23533861126796,115.08600365395475,76.72400243596982,172.6290054809321,127.87333739328305,57.543001826977374,19.181000608992456,12.787333739328306,10.229866991462643,7.672400243596983,7.672400243596983,7.672400243596983,3.8362001217984916
2024-08-05 14:00:00,131.99459396063548,59.39756728228597,224.39080973308032,316.78702550552515,197.99189094095323,105.59567516850838,171.59297214882614,118.79513456457194,79.19675637638129,178.1927018468579,131.99459396063548,59.39756728228597,19.799189094095322,13.199459396063547,10.559567516850839,7.919675637638129,7.919675637638129,7.919675637638129,3.9598378188190644
2024-08-05 15:00:00,134.23847851740766,60.40731533283345,228.20541347959303,322.1723484417784,201.3577177761115,107.39078281392614,174.51002207262997,120.8146306656669,80.5430871104446,181.22194599850036,134.23847851740766,60.40731533283345,20.13577177761115,13.423847851740767,10.739078281392613,8.05430871104446,8.05430871104446,8.05430871104446,4.02715435552223
2024-08-05 16:00:00,135.14108766185973,60.81348944783688,229.73984902516153,324.33861038846334,202.7116314927896,108.11287012948779,175.68341396041765,121.62697889567376,81.08465259711583,182.44046834351064,135.14108766185973,60.81348944783688,20.27116314927896,13.514108766185974,10.811287012948778,8.108465259711583,8.108465259711583,8.108465259711583,4.054232629855791
2024-08-05 17:00:00,137.02068993932508,61.65931047269629,232.93517289685266,328.8496558543802,205.53103490898764,109.61655195146007,178.1268969211226,123.31862094539258,82.21241396359505,184.97793141808887,137.02068993932508,61.65931047269629,20.553103490898764,13.702068993932508,10.961655195146008,8.221241396359506,8.221241396359506,8.221241396359506,4.110620698179753
2024-08-05 18:00:00,142.72063860473614,64.22428737213126,242.62508562805144,342.5295326513667,214.0809579071042,114.17651088378891,185.53683018615698,128.44857474426252,85.63238316284168,192.6728621163938,142.72063860473614,64.22428737213126,21.40809579071042,14.272063860473613,11.417651088378891,8.563238316284169,8.563238316284169,8.563238316284169,4.281619158142084
2024-08-05 19:00:00,152.64281451856357,68.6892665333536,259.4927846815581,366.3427548445526,228.96422177784535,122.11425161485086,198.43565887413263,137.3785330667072,91.58568871113815,206.06779960006082,152.64281451856357,68.6892665333536,22.896422177784537,15.264281451856357,12.211425161485085,9.158568871113815,9.158568871113815,9.158568871113815,4.579284435556907
2024-08-05 20:00:00,162.564657566718,73.1540959050231,276.3599178634206,390.1551781601232,243.846986350077,130.0517260533744,211.3340548367334,146.3081918100462,97.5387945400308,219.46228771506932,162.564657566718,73.1540959050231,24.3846986350077,16.2564657566718,13.00517260533744,9.75387945400308,9.75387945400308,9.75387945400308,4.87693972700154
2024-08-05 21:00:00,165.7333905360424,74.58002574121909,281.7467639112721,397.7601372865018,248.6000858040636,132.58671242883392,215.45340769685512,149.16005148243818,99.44003432162545,223.74007722365727,165.7333905360424,74.58002574121909,24.86000858040636,16.57333905360424,13.258671242883393,9.944003432162544,9.944003432162544,9.944003432162544,4.972001716081272
2024-08-05 22:00:00,158.57944057447105,71.36074825851198,269.5850489766008,380.5906573787305,237.86916086170658,126.86355245957684,206.15327274681235,142.72149651702395,95.14766434468262,214.0822447755359,158.57944057447105,71.36074825851198,23.786916086170656,15.857944057447105,12.686355245957683,9.514766434468262,9.514766434468262,9.514766434468262,4.757383217234131
2024-08-05 23:00:00,144.0879074796313,64.83955836583408,244.9494427153732,345.8109779511151,216.13186121944693,115.27032598370504,187.31427972352068,129.67911673166816,86.45274448777877,194.51867509750224,144.0879074796313,64.83955836583408,21.613186121944693,14.40879074796313,11.527032598370504,8.645274448777878,8.645274448777878,8.645274448777878,4.322637224388939
2024-08-06 00:00:00,108.76931620576585,48.94619229259463,184.90783754980194,261.04635889383803,163.15397430864877,87.01545296461268,141.4001110674956,97.89238458518926,65.26158972345951,146.8385768777839,108.76931620576585,48.94619229259463,16.315397430864877,10.876931620576585,8.70154529646127,6.526158972345951,6.526158972345951,6.526158972345951,3.2630794861729755
2024-08-06 01:00:00,108.76941419525352,48.94623638786408,184.90800413193097,261.04659406860844,163.15412129288026,87.01553135620281,141.40023845382956,97.89247277572817,65.26164851715211,146.83870916359226,108.76941419525352,48.94623638786408,16.315412129288028,10.876941419525352,8.701553135620282,6.526164851715211,6.526164851715211,6.526164851715211,3.2630824258576054
2024-08-06 02:00:00,108.7699301610287,48.94646857246291,184.90888127374876,261.0478323864689,163.15489524154304,87.01594412882295,141.4009092093373,97.89293714492582,65.26195809661722,146.83940571738873,108.7699301610287,48.94646857246291,16.315489524154305,10.876993016102869,8.701594412882296,6.526195809661721,6.526195809661721,6.526195809661721,3.2630979048308606
2024-08-06 03:00:00,108.7723173081061,48.94754278864774,184.91293942378036,261.0535615394546,163.15847596215914,87.01785384648487,141.4040125005379,97.89508557729548,65.26339038486365,146.84262836594323,108.7723173081061,48.94754278864774,16.315847596215914,10.877231730810609,8.701785384648486,6.526339038486365,6.526339038486365,6.526339038486365,3.2631695192431827
2024-08-06 04:00:00,108.7820126875534,48.95190570939903,184.92942156884078,261.07683045012817,163.1730190313301,87.02561015004272,141.41661649381942,97.90381141879806,65.26920761253204,146.85571712819709,108.7820126875534,48.95190570939903,16.31730190313301,10.87820126875534,8.702561015004273,6.526920761253204,6.526920761253204,6.526920761253204,3.263460380626602
2024-08-06 05:00:00,108.81654127003857,48.96744357151735,184.98812015906555,261.15969904809253,163.22481190505783,87.05323301603084,141.46150365105012,97.9348871430347,65.28992476202313,146.90233071455205,108.81654127003857,48.96744357151735,16.322481190505783,10.881654127003856,8.705323301603086,6.528992476202314,6.528992476202314,6.528992476202314,3.264496238101157
2024-08-06 06:00:00,108.9242047964006,49.01589215838027,185.171148153881,261.4180915113614,163.3863071946009,87.13936383712047,141.60146623532077,98.03178431676054,65.35452287784035,147.0476764751408,108.9242047964006,49.01589215838027,16.338630719460088,10.892420479640059,8.713936383712047,6.535452287784036,6.535452287784036,6.535452287784036,3.267726143892018
2024-08-06 07:00:00,109.21753742030447,49.14789183913701,185.66981361451758,262.1220898087307,163.8263061304567,87.37402993624357,141.9827986463958,98.29578367827402,65.53052245218268,147.443675517411,109.21753742030447,49.14789183913701,16.38263061304567,10.921753742030447,8.737402993624357,6.553052245218268,6.553052245218268,6.553052245218268,3.276526122609134
2024-08-06 08:00:00,109.91391920641576,49.46126364288709,186.85366265090678,263.7934060953978,164.87087880962363,87.9311353651326,142.88809496834048,98.92252728577418,65.94835152384945,148.38379092866128,109.91391920641576,49.46126364288709,16.487087880962363,10.991391920641576,8.79311353651326,6.594835152384945,6.594835152384945,6.594835152384945,3.2974175761924727
2024-08-06 09:00:00,111.34874811191031,50.10693665035964,189.29287179024752,267.2369954685847,167.02312216786547,89.07899848952825,144.75337254548342,100.21387330071929,66.80924886714618,150.32080995107893,111.34874811191031,50.10693665035964,16.702312216786545,11.13487481119103,8.907899848952825,6.680924886714619,6.680924886714619,6.680924886714619,3.3404624433573096
2024-08-06 10:00:00,113.89921463665375,51.25464658649419,193.6286648823114,273.35811512796903,170.84882195498062,91.119371709323,148.06897902764987,102.50929317298838,68.33952878199226,153.76393975948258,113.89921463665375,51.25464658649419,17.084882195498064,11.389921463665376,9.1119371709323,6.833952878199225,6.833952878199225,6.833952878199225,3.4169764390996127
2024-08-06 11:00:00,117.77325723727421,52.99796575677339,200.21453730336614,282.6558173694581,176.6598858559113,94.21860578981936,153.10523440845648,105.99593151354678,70.66395434236452,158.9938972703202,117.77325723727421,52.99796575677339,17.66598858559113,11.77732572372742,9.421860578981937,7.066395434236452,7.066395434236452,7.066395434236452,3.533197717118226
2024-08-06 12:00:00,122.7203560887693,55.22416023994618,208.62460535090779,294.5288546130463,184.08053413315392,98.17628487101543,159.53646291540008,110.44832047989236,73.63221365326157,165.67248071983855,122.7203560887693,55.22416023994618,18.408053413315393,12.272035608876928,9.817628487101542,7.363221365326157,7.363221365326157,7.363221365326157,3.6816106826630786
2024-08-06 13:00:00,127.87333739328305,57.543001826977374,217.38467356858118,306.8960097438793,191.81000608992457,102.29866991462644,166.23533861126796,115.08600365395475,76.72400243596982,172.6290054809321,127.87333739328305,57.543001826977374,19.181000608992456,12.787333739328306,10.229866991462643,7.672400243596983,7.672400243596983,7.672400243596983,3.8362001217984916
2024-08-06 14:00:00,131.99459396063548,59.39756728228597,224.39080973308032,316.78702550552515,197.99189094095323,105.59567516850838,171.59297214882614,118.79513456457194,79.19675637638129,178.1927018468579,131.99459396063548,59.39756728228597,19.799189094095322,13.199459396063547,10.559567516850839,7.919675637638129,7.919675637638129,7.919675637638129,3.9598378188190644
2024-08-06 15:00:00,134.23847851740766,60.40731533283345,228.20541347959303,322.1723484417784,201.3577177761115,107.39078281392614,174.51002207262997,120.8146306656669,80.5430871104446,181.22194599850036,134.23847851740766,60.40731533283345,20.13577177761115,13.423847851740767,10.739078281392613,8.05430871104446,8.05430871104446,8.05430871104446,4.02715435552223
2024-08-06 16:00:00,135.14108766185973,60.81348944783688,229.73984902516153,324.33861038846334,202.7116314927896,108.11287012948779,175.68341396041765,121.62697889567376,81.08465259711583,182.44046834351064,135.14108766185973,60.81348944783688,20.27116314927896,13.514108766185974,10.811287012948778,8.108465259711583,8.108465259711583,8.108465259711583,4.054232629855791
2024-08-06 17:00:00,137.02068993932508,61.65931047269629,232.93517289685266,328.8496558543802,205.53103490898764,109.61655195146007,178.1268969211226,123.31862094539258,82.21241396359505,184.97793141808887,137.02068993932508,61.65931047269629,20.553103490898764,13.702068993932508,10.961655195146008,8.221241396359506,8.221241396359506,8.221241396359506,4.110620698179753
2024-08-06 18:00:00,142.72063860473614,64.22428737213126,242.62508562805144,342.5295326513667,214.0809579071042,114.17651088378891,185.53683018615698,128.44857474426252,85.63238316284168,192.6728621163938,142.72063860473614,64.22428737213126,21.40809579071042,14.272063860473613,11.417651088378891,8.563238316284169,8.563238316284169,8.563238316284169,4.281619158142084
2024-08-06 19:00:00,152.64281451856357,68.6892665333536,259.4927846815581,366.3427548445526,228.96422177784535,122.11425161485086,198.43565887413263,137.3785330667072,91.58568871113815,206.06779960006082,152.64281451856357,68.6892665333536,22.896422177784537,15.264281451856357,12.211425161485085,9.158568871113815,9.158568871113815,9.158568871113815,4.579284435556907
2024-08-06 20:00:00,162.564657566718,73.1540959050231,276.3599178634206,390.1551781601232,243.846986350077,130.0517260533744,211.3340548367334,146.3081918100462,97.5387945400308,219.46228771506932,162.564657566718,73.1540959050231,24.3846986350077,16.2564657566718,13.00517260533744,9.75387945400308,9.75387945400308,9.75387945400308,4.87693972700154
2024-08-06 21:00:00,165.7333905360424,74.58002574121909,281.7467639112721,397.7601372865018,248.6000858040636,132.58671242883392,215.45340769685512,149.16005148243818,99.44003432162545,223.74007722365727,165.7333905360424,74.58002574121909,24.86000858040636,16.57333905360424,13.258671242883393,9.944003432162544,9.944003432162544,9.944003432162544,4.972001716081272
2024-08-06 22:00:00,158.57944057447105,71.36074825851198,269.5850489766008,380.5906573787305,237.86916086170658,126.86355245957684,206.15327274681235,142.72149651702395,95.14766434468262,214.0822447755359,158.57944057447105,71.36074825851198,23.786916086170656,15.857944057447105,12.686355245957683,9.514766434468262,9.514766434468262,9.514766434468262,4.757383217234131
2024-08-06 23:00:00,144.0879074796313,64.83955836583408,244.9494427153732,345.8109779511151,216.13186121944693,115.27032598370504,187.31427972352068,129.67911673166816,86.45274448777877,194.51867509750224,144.0879074796313,64.83955836583408,21.613186121944693,14.40879074796313,11.527032598370504,8.645274448777878,8.645274448777878,8.645274448777878,4.322637224388939
2024-08-07 00:00:00,108.76931620576585,48.94619229259463,184.90783754980194,261.04635889383803,163.15397430864877,87.01545296461268,141.4001110674956,97.89238458518926,65.26158972345951,146.8385768777839,108.76931620576585,48.94619229259463,16.315397430864877,10.876931620576585,8.70154529646127,6.526158972345951,6.526158972345951,6.526158972345951,3.2630794861729755
2024-08-07 01:00:00,108.76941419525352,48.94623638786408,184.90800413193097,261.04659406860844,163.15412129288026,87.01553135620281,141.40023845382956,97.89247277572817,65.26164851715211,146.83870916359226,108.76941419525352,48.94623638786408,16.315412129288028,10.876941419525352,8.701553135620282,6.526164851715211,6.526164851715211,6.526164851715211,3.2630824258576054
2024-08-07 02:00:00,108.7699301610287,48.94646857246291,184.90888127374876,261.0478323864689,163.15489524154304,87.01594412882295,141.4009092093373,97.89293714492582,65.26195809661722,146.83940571738873,108.7699301610287,48.94646857246291,16.315489524154305,10.876993016102869,8.701594412882296,6.526195809661721,6.526195809661721,6.526195809661721,3.2630979048308606
2024-08-07 03:00:00,108.7723173081061,48.94754278864774,184.91293942378036,261.0535615394546,163.15847596215914,87.01785384648487,141.4040125005379,97.89508557729548,65.26339038486365,146.84262836594323,108.7723173081061,48.94754278864774,16.315847596215914,10.877231730810609,8.701785384648486,6.526339038486365,6.526339038486365,6.526339038486365,3.2631695192431827
2024-08-07 04:00:00,108.7820126875534,48.95190570939903,184.92942156884078,261.07683045012817,163.1730190313301,87.02561015004272,141.41661649381942,97.90381141879806,65.26920761253204,146.85571712819709,108.7820126875534,48.95190570939903,16.31730190313301,10.87820126875534,8.702561015004273,6.526920761253204,6.526920761253204,6.526920761253204,3.263460380626602
2024-08-07 05:00:00,108.81654127003857,48.96744357151735,184.98812015906555,261.15969904809253,163.22481190505783,87.05323301603084,141.46150365105012,97.9348871430347,65.28992476202313,146.90233071455205,108.81654127003857,48.96744357151735,16.322481190505783,10.881654127003856,8.705323301603086,6.528992476202314,6.528992476202314,6.528992476202314,3.264496238101157
2024-08-07 06:00:00,108.9242047964006,49.01589215838027,185.171148153881,261.4180915113614,163.3863071946009,87.13936383712047,141.60146623532077,98.03178431676054,65.35452287784035,147.0476764751408,108.9242047964006,49.01589215838027,16.338630719460088,10.892420479640059,8.713936383712047,6.535452287784036,6.535452287784036,6.535452287784036,3.267726143892018
2024-08-07 07:00:00,109.21753742030447,49.14789183913701,185.66981361451758,262.1220898087307,163.8263061304567,87.37402993624357,141.9827986463958,98.29578367827402,65.53052245218268,147.443675517411,109.21753742030447,49.14789183913701,16.38263061304567,10.921753742030447,8.737402993624357,6.553052245218268,6.553052245218268,6.553052245218268,3.276526122609134
2024-08-07 08:00:00,109.91391920641576,49.46126364288709,186.85366265090678,263.7934060953978,164.87087880962363,87.9311353651326,142.88809496834048,98.92252728577418,65.94835152384945,148.38379092866128,109.91391920641576,49.46126364288709,16.487087880962363,10.991391920641576,8.79311353651326,6.594835152384945,6.594835152384945,6.594835152384945,3.2974175761924727
2024-08-07 09:00:00,111.34874811191031,50.10693665035964,189.29287179024752,267.2369954685847,167.02312216786547,89.07899848952825,144.75337254548342,100.21387330071929,66.80924886714618,150.32080995107893,111.34874811191031,50.10693665035964,16.702312216786545,11.13487481119103,8.907899848952825,6.680924886714619,6.680924886714619,6.680924886714619,3.3404624433573096
2024-08-07 10:00:00,113.89921463665375,51.25464658649419,193.6286648823114,273.35811512796903,170.84882195498062,91.119371709323,148.06897902764987,102.50929317298838,68.33952878199226,153.76393975948258,113.89921463665375,51.25464658649419,17.084882195498064,11.389921463665376,9.1119371709323,6.833952878199225,6.833952878199225,6.833952878199225,3.4169764390996127
2024-08-07 11:00:00,117.77325723727421,52.99796575677339,200.21453730336614,282.6558173694581,176.6598858559113,94.21860578981936,153.10523440845648,105.99593151354678,70.66395434236452,158.9938972703202,117.77325723727421,52.99796575677339,17.66598858559113,11.77732572372742,9.421860578981937,7.066395434236452,7.066395434236452,7.066395434236452,3.533197717118226
2024-08-07 12:00:00,122.7203560887693,55.22416023994618,208.62460535090779,294.5288546130463,184.08053413315392,98.17628487101543,159.53646291540008,110.44832047989236,73.63221365326157,165.67248071983855,122.7203560887693,55.22416023994618,18.408053413315393,12.272035608876928,9.817628487101542,7.363221365326157,7.363221365326157,7.363221365326157,3.6816106826630786
2024-08-07 13:00:00,127.87333739328305,57.543001826977374,217.38467356858118,306.8960097438793,191.81000608992457,102.29866991462644,166.23533861126796,115.08600365395475,76.72400243596982,172.6290054809321,127.87333739328305,57.543001826977374,19.181000608992456,12.787333739328306,10.229866991462643,7.672400243596983,7.672400243596983,7.672400243596983,3.8362001217984916
2024-08-07 14:00:00,131.99459396063548,59.39756728228597,224.39080973308032,316.78702550552515,197.99189094095323,105.59567516850838,171.59297214882614,118.79513456457194,79.19675637638129,178.1927018468579,131.99459396063548,59.39756728228597,19.799189094095322,13.199459396063547,10.559567516850839,7.919675637638129,7.919675637638129,7.919675637638129,3.9598378188190644
2024-08-07 15:00:00,134.23847851740766,60.40731533283345,228.20541347959303,322.1723484417784,201.3577177761115,107.39078281392614,174.51002207262997,120.8146306656669,80.5430871104446,181.22194599850036,134.23847851740766,60.40731533283345,20.13577177761115,13.423847851740767,10.739078281392613,8.05430871104446,8.05430871104446,8.05430871104446,4.02715435552223
2024-08-07 16:00:00,135.14108766185973,60.81348944783688,229.73984902516153,324.33861038846334,202.7116314927896,108.11287012948779,175.68341396041765,121.62697889567376,81.08465259711583,182.44046834351064,135.14108766185973,60.81348944783688,20.27116314927896,13.514108766185974,10.811287012948778,8.108465259711583,8.108465259711583,8.108465259711583,4.054232629855791
2024-08-07 17:00:00,137.02068993932508,61.65931047269629,232.93517289685266,328.8496558543802,205.53103490898764,109.61655195146007,178.1268969211226,123.31862094539258,82.21241396359505,184.97793141808887,137.02068993932508,61.65931047269629,20.553103490898764,13.702068993932508,10.961655195146008,8.221241396359506,8.221241396359506,8.221241396359506,4.110620698179753
2024-08-07 18:00:00,142.72063860473614,64.22428737213126,242.62508562805144,342.5295326513667,214.0809579071042,114.17651088378891,185.53683018615698,128.44857474426252,85.63238316284168,192.6728621163938,142.72063860473614,64.22428737213126,21.40809579071042,14.272063860473613,11.417651088378891,8.563238316284169,8.563238316284169,8.563238316284169,4.281619158142084
2024-08-07 19:00:00,152.64281451856357,68.6892665333536,259.4927846815581,366.3427548445526,228.96422177784535,122.11425161485086,198.43565887413263,137.3785330667072,91.58568871113815,206.06779960006082,152.64281451856357,68.6892665333536,22.896422177784537,15.264281451856357,12.211425161485085,9.158568871113815,9.158568871113815,9.158568871113815,4.579284435556907
2024-08-07 20:00:00,162.564657566718,73.1540959050231,276.3599178634206,390.1551781601232,243.846986350077,130.0517260533744,211.3340548367334,146.3081918100462,97.5387945400308,219.46228771506932,162.564657566718,73.1540959050231,24.3846986350077,16.2564657566718,13.00517260533744,9.75387945400308,9.75387945400308,9.75387945400308,4.87693972700154
2024-08-07 21:00:00,165.7333905360424,74.58002574121909,281.7467639112721,397.7601372865018,248.6000858040636,132.58671242883392,215.45340769685512,149.16005148243818,99.44003432162545,223.74007722365727,165.7333905360424,74.58002574121909,24.86000858040636,16.57333905360424,13.258671242883393,9.944003432162544,9.944003432162544,9.944003432162544,4.972001716081272
2024-08-07 22:00:00,158.57944057447105,71.36074825851198,269.5850489766008,380.5906573787305,237.86916086170658,126.86355245957684,206.15327274681235,142.72149651702395,95.14766434468262,214.0822447755359,158.57944057447105,71.36074825851198,23.786916086170656,15.857944057447105,12.686355245957683,9.514766434468262,9.514766434468262,9.514766434468262,4.757383217234131
